query-id	corpus-id	score
kt-001	doc-0015	2
kt-002	doc-0018	2
kt-003	doc-0031	2
kt-004	doc-0058	2
kt-005	doc-0072	2
kt-006	doc-0158	2
kt-007	doc-0167	2
kt-008	doc-0209	2
kt-009	doc-0234	2
kt-010	doc-0255	2
kt-011	doc-0265	2
kt-012	doc-0314	2
kt-013	doc-0323	2
kt-014	doc-0351	2
kt-015	doc-0377	2
kt-016	doc-0397	2
kt-017	doc-0399	2
kt-018	doc-0414	2
kt-019	doc-0429	2
kt-020	doc-0448	2
kt-021	doc-0455	2
kt-022	doc-0475	2
kt-023	doc-0513	2
kt-024	doc-0520	2
kt-025	doc-0583	2
kt-026	doc-0629	2
kt-027	doc-0654	2
kt-028	doc-0666	2
kt-029	doc-0729	2
kt-030	doc-0790	2
kt-031	doc-0800	2
kt-032	doc-0821	2
kt-033	doc-0875	2
kt-034	doc-0902	2
kt-035	doc-0909	2
kt-036	doc-0935	2
kt-037	doc-0993	2
kt-038	doc-1007	2
kt-039	doc-1020	2
kt-040	doc-1030	2
kt-041	doc-1055	2
kt-042	doc-1056	2
kt-043	doc-1059	2
kt-044	doc-1072	2
kt-045	doc-1080	2
kt-046	doc-1159	2
kt-047	doc-1207	2
kt-048	doc-1231	2
kt-049	doc-1248	2
kt-050	doc-1294	2
kt-051	doc-1360	2
kt-052	doc-1387	2
kt-053	doc-1434	2
kt-054	doc-1437	2
kt-055	doc-1477	2
kt-056	doc-1509	2
kt-057	doc-1643	2
kt-058	doc-1703	2
kt-059	doc-1724	2
kt-060	doc-1732	2
kt-061	doc-1765	2
kt-062	doc-1782	2
kt-063	doc-1855	2
kt-064	doc-1873	2
kt-065	doc-1892	2
kt-066	doc-1915	2
kt-067	doc-2003	2
kt-068	doc-2015	2
kt-069	doc-2109	2
kt-070	doc-2112	2
kt-071	doc-2130	2
kt-072	doc-2137	2
kt-073	doc-2138	2
kt-074	doc-2153	2
kt-075	doc-2164	2
kt-076	doc-2242	2
kt-077	doc-2254	2
kt-078	doc-2268	2
kt-079	doc-2296	2
kt-080	doc-2324	2
kt-081	doc-2426	2
kt-082	doc-2441	2
kt-083	doc-2450	2
kt-084	doc-2468	2
kt-085	doc-2492	2
kt-086	doc-2598	2
kt-087	doc-2686	2
kt-088	doc-2763	2
kt-089	doc-2765	2
kt-090	doc-2789	2
kt-091	doc-2814	2
kt-092	doc-2841	2
kt-093	doc-2851	2
kt-094	doc-2860	2
kt-095	doc-2877	2
kt-096	doc-2956	2
kt-097	doc-2970	2
kt-098	doc-2991	2
kt-099	doc-3063	2
kt-100	doc-3097	2
kt-101	doc-3205	2
kt-102	doc-3233	2
kt-103	doc-3252	2
kt-104	doc-3263	2
kt-105	doc-3302	2
kt-106	doc-3310	2
kt-107	doc-3357	2
kt-108	doc-3375	2
kt-109	doc-3396	2
kt-110	doc-3403	2
kt-111	doc-3461	2
kt-112	doc-3473	2
kt-113	doc-3480	2
kt-114	doc-3543	2
kt-115	doc-3607	2
kt-116	doc-3644	2
kt-117	doc-3653	2
kt-118	doc-3677	2
kt-119	doc-3696	2
kt-120	doc-3698	2
kt-121	doc-3782	2
kt-122	doc-3798	2
kt-123	doc-3816	2
kt-124	doc-3832	2
kt-125	doc-3847	2
kt-126	doc-3865	2
kt-127	doc-3875	2
kt-128	doc-3980	2
kt-129	doc-4017	2
kt-130	doc-4029	2
kt-131	doc-4082	2
kt-132	doc-4141	2
kt-133	doc-4215	2
kt-134	doc-4276	2
kt-135	doc-4332	2
kt-136	doc-4343	2
kt-137	doc-4367	2
kt-138	doc-4369	2
kt-139	doc-4445	2
kt-140	doc-4487	2
kt-141	doc-4524	2
kt-142	doc-4561	2
kt-143	doc-4578	2
kt-144	doc-4629	2
kt-145	doc-4653	2
kt-146	doc-4658	2
kt-147	doc-4673	2
kt-148	doc-4733	2
kt-149	doc-4773	2
kt-150	doc-4799	2
kt-151	doc-4846	2
kt-152	doc-4848	2
kt-153	doc-4885	2
kt-154	doc-4888	2
kt-155	doc-5005	2
kt-156	doc-5103	2
kt-157	doc-5131	2
kt-158	doc-5170	2
kt-159	doc-5204	2
kt-160	doc-5222	2
kt-161	doc-5224	2
kt-162	doc-5246	2
kt-163	doc-5422	2
kt-164	doc-5471	2
kt-165	doc-5498	2
kt-166	doc-5502	2
kt-167	doc-5566	2
kt-168	doc-5596	2
kt-169	doc-5617	2
kt-170	doc-5675	2
kt-171	doc-5680	2
kt-172	doc-5711	2
kt-173	doc-5714	2
kt-174	doc-5724	2
kt-175	doc-5758	2
kt-176	doc-5847	2
kt-177	doc-5911	2
kt-178	doc-5915	2
kt-179	doc-6037	2
kt-180	doc-6103	2
kt-181	doc-6106	2
kt-182	doc-6143	2
kt-183	doc-6180	2
kt-184	doc-6299	2
kt-185	doc-6355	2
kt-186	doc-6388	2
kt-187	doc-6420	2
kt-188	doc-6435	2
kt-189	doc-6451	2
kt-190	doc-6480	2
kt-191	doc-6533	2
kt-192	doc-6549	2
kt-193	doc-6574	2
kt-194	doc-6647	2
kt-195	doc-6693	2
kt-196	doc-6724	2
kt-197	doc-6739	2
kt-198	doc-6770	2
kt-199	doc-6772	2
kt-200	doc-6845	2
kt-201	doc-6850	2
kt-202	doc-6865	2
kt-203	doc-7046	2
kt-204	doc-7070	2
kt-205	doc-7077	2
kt-206	doc-7101	2
kt-207	doc-7114	2
kt-208	doc-7146	2
kt-209	doc-7208	2
kt-210	doc-7230	2
kt-211	doc-7269	2
kt-212	doc-7274	2
kt-213	doc-7287	2
kt-214	doc-7289	2
kt-215	doc-7377	2
kt-216	doc-7390	2
kt-217	doc-7406	2
kt-218	doc-7427	2
kt-219	doc-7455	2
kt-220	doc-7468	2
kt-221	doc-7499	2
kt-222	doc-7526	2
kt-223	doc-7566	2
kt-224	doc-7593	2
kt-225	doc-7639	2
kt-226	doc-7651	2
kt-227	doc-7655	2
